HDD65,CDD65,MFHTBTU,MFCLBTU,MFVNBTU,MFWTBTU,MFLTBTU,MFCKBTU,MFRFBTU,MFOFBTU,MFPCBTU,MFOTBTU,ELHTBTU,ELCLBTU,ELVNBTU,ELWTBTU,ELLTBTU,ELCKBTU,ELRFBTU,ELOFBTU,ELPCBTU,ELOTBTU,NGHTBTU,NGCLBTU,NGWTBTU,NGCKBTU,NGOTBTU,FKHTBTU,FKCLBTU,FKWTBTU,FKCKBTU,FKOTBTU,DHHTBTU,DHCLBTU,DHWTBTU,DHCKBTU,DHOTBTU,MFUSED,DHUSED,DHHT1,DHHT2,DHCOOL,DHCOOK,DHWATR,DHMANU,DHOTH,PUBCLIM
6647,1100,5212.0,646.0,371.0,17.0,7259.0,0.0,579.0,1265.0,1471.0,10114.0,5212.0,646.0,371.0,17.0,7259.0,0.0,579.0,1265.0,1471.0,3928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6186.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3659,1634,515968.0,765271.0,1356496.0,212769.0,989247.0,112969.0,723187.0,251960.0,153876.0,807929.0,135096.0,765271.0,1356496.0,101743.0,989247.0,112969.0,723187.0,251960.0,153876.0,807929.0,380872.0,0.0,111026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5079,899,0.0,0.0,0.0,1098.0,2171.0,0.0,28891.0,0.0,0.0,6733.0,0.0,0.0,0.0,1098.0,2171.0,0.0,28891.0,0.0,0.0,6733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2399,2290,7690887.0,1709273.0,8981761.0,2199474.0,2889646.0,6139117.0,5009044.0,3404782.0,322992.0,10090238.0,1643887.0,1709273.0,8981761.0,0.0,2889646.0,4499351.0,5009044.0,3404782.0,322992.0,8840442.0,0.0,0.0,2199474.0,1639766.0,0.0,0.0,0.0,0.0,0.0,1249796.0,6047000.0,0.0,0.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
813,4144,322542.0,21305.0,532929.0,45458.0,414293.0,0.0,12696.0,61483.0,235894.0,270244.0,0.0,21305.0,532929.0,0.0,414293.0,0.0,12696.0,61483.0,235894.0,248110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22134.0,322542.0,0.0,45458.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
2728,2515,56662.0,9520.0,9588.0,2505.0,19475.0,54812.0,129380.0,11400.0,9419.0,12688.0,1703.0,9520.0,9588.0,141.0,19475.0,0.0,129380.0,11400.0,9419.0,12688.0,54959.0,0.0,2364.0,54812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1318,3503,40560779.0,0.0,18991630.0,31347649.0,15485385.0,46529736.0,6654183.0,5603911.0,9062107.0,27758833.0,0.0,0.0,18991630.0,0.0,15485385.0,6007176.0,6654183.0,5603911.0,9062107.0,27518800.0,0.0,0.0,31347649.0,10123339.0,0.0,0.0,0.0,0.0,0.0,240033.0,40560779.0,0.0,0.0,30399221.0,0.0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
1156,3738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1341,2878,651865.0,480164.0,660807.0,24954.0,349091.0,107004.0,265711.0,34226.0,138188.0,263835.0,18351.0,480164.0,660807.0,0.0,349091.0,18042.0,265711.0,34226.0,138188.0,263835.0,633514.0,0.0,24954.0,88962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3471,1723,4472766.0,15637822.0,13019896.0,184111.0,8065974.0,359574.0,161434.0,519512.0,6475474.0,6476857.0,4472766.0,15637822.0,13019896.0,184111.0,8065974.0,359574.0,161434.0,519512.0,6475474.0,6178088.0,0.0,0.0,0.0,0.0,133660.0,0.0,0.0,0.0,0.0,165109.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
