CATEOGORIES,File order,"Variable
name",Variable type,"Len-
gth",Format,Label,Values/Format codes,
0,1,PUBID,Char,5,,Building identifier,00001 - 06720,
0,2,REGION,Char,1,$REGION.,Census region,"'1' = 'Northeast'
'2' = 'Midwest'
'3' = 'South'
'4' = 'West'",
0,3,CENDIV,Char,1,$CENDIV.,Census division,"'1' = 'New England'
'2' = 'Middle Atlantic'
'3' = 'East North Central'
'4' = 'West North Central'
'5' = 'South Atlantic'
'6' = 'East South Central'
'7' = 'West South Central'
'8' = 'Mountain'
'9' = 'Pacific'",
0,4,PBA,Char,2,$PBA.,Principal building activity,"'01' = 'Vacant'
'02' = 'Office'
'04' = 'Laboratory'
'05' = 'Nonrefrigerated warehouse'
'06' = 'Food sales'
'07' = 'Public order and safety'
'08' = 'Outpatient health care'
'11' = 'Refrigerated warehouse'
'12' = 'Religious worship'
'13' = 'Public assembly'
'14' = 'Education'
'15' = 'Food service'
'16' = 'Inpatient health care'
'17' = 'Nursing'
'18' = 'Lodging'
'23' = 'Strip shopping mall'
'24' = 'Enclosed mall'
'25' = 'Retail other than mall'
'26' = 'Service'
'91' = 'Other'",
1,5,FREESTN,Char,1,$YES.,Freestanding building,"1' = 'Yes'
Missing='No' ",
1,6,SQFT,Num,8,COMMA10.,Square footage,"1,001 - 1,500,000",
1,7,SQFTC,Char,2,$SQFTC.,Square footage category,"'01' = '1,000 square feet or less'
'02' = '1,001 to 5,000 square feet'
'03' = '5,001 to 10,000 square feet'
'04' = '10,001 to 25,000 square feet'
'05' = '25,001 to 50,000 square feet'
'06' = '50,001 to 100,000 square feet'
'07' = '100,001 to 200,000 square feet'
'08' = '200,001 to 500,000 square feet'
'09' = '500,001 to 1 million square feet'
'10' = 'Over 1 million square feet'",
1,8,WLCNS,Char,2,$WLCNS.,Wall construction material,"'1' = 'Brick, stone, or stucco'
'2' = 'Pre-cast concrete panels'
'3' = 'Concrete block or poured concrete (above grade)'
'4' = 'Aluminum, asbestos, plastic, or wood materials (siding, shingles, tiles, or shakes)'
'5' = 'Sheet metal panels'
'6' = 'Window or vision glass (glass that can be seen through)'
'7' = 'Decorative or construction glass'
'8' = 'No one major type'
'9' = 'Other'",
1,9,RFCNS,Char,2,$RFCNS.,Roof construction material,"'1' = 'Built-up (tar, felts, or fiberglass and a ballast, such as stone)'
'2' = 'Slate or tile shingles'
'3' = 'Wood shingles, shakes, or other wooden materials'
'4' = 'Asphalt, fiberglass, or other shingles'
'5' = 'Metal surfacing'
'6' = 'Plastic, rubber, or synthetic sheeting (single or multiple ply)'
'7' = 'Concrete'
'8' = 'No one major type'
'9' = 'Other'",
1,10,RFCOOL,Char,1,$YESNO.,Cool roof materials,"'1' = 'Yes'
'2' = 'No'",
1,11,RFTILT,Char,1,$PITCH.,Roof tilt,"'1' = 'Flat'
'2' = 'Shallow pitch'
'3' = 'Steeper pitch'",
1,12,BLDSHP,Char,2,$SHAPE.,Building shape,"'01' = 'Square'
'02' = 'Wide rectangle'
'03' = 'Narrow rectangle'
'04' = 'Rectangle or square with an interior courtyard'
'05' = '""H"" shaped'
'06' = '""U"" shaped'
'07' = '""E"" shaped'
'08' = '""T"" shaped'
'09' = '""L"" shaped'
'10' = '""+"" or cross shaped'
'11' = 'Other shape'
Missing = Not applicable",
1,13,GLSSPC,Char,1,$GLSPCT.,Percent exterior glass,"'1' = '1 percent or less'
'2' = '2 to 10 percent'
'3' = '11 to 25 percent'
'4' = '26 to 50 percent'
'5' = '51 to 75 percent'
'6' = '76 to 100 percent'
Missing = Not applicable",
1,14,EQGLSS,Char,1,$YESNO.,Equal glass on all sides,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,15,SUNGLS,Char,1,$GLSAREA.,Glass sides most sunlight,"'1' = 'More glass area'
'2' = 'Less glass area'
'3' = 'About the same amount'
Missing = Not applicable",
1,16,NFLOOR,Num,8,,Number of floors,"1 - 14
994 = 15 to 25
995 = More than 25",
1,17,BASEMNT,Num,8,,Number of underground floors,"0 - 7
Missing = Not applicable",
1,18,FLCEILHT,Num,8,,Floor to ceiling height,"6 - 50
995 = More than 50",
1,19,ATTIC,Char,1,$YESNO.,Attic,"'1' = 'Yes'
'2' = 'No'",
1,20,ELEVTR,Char,1,$YESNO.,Elevators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,21,NELVTR,Num,8,,Number of elevators,"1 - 50
995 = More than 50",
1,22,ESCLTR,Char,1,$YESNO.,Escalators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,23,NESLTR,Num,8,,Number of escalators,"1 - 20
995 = More than 20",
1,24,YRCON,Num,8,,Year of construction,"995 = Before 1946
1946 - 2012",
1,25,YRCONC,Char,2,$YRCONC.,Year of construction category,"'01' = 'Before 1920'
'02' = '1920 to 1945'
'03' = '1946 to 1959'
'04' = '1960 to 1969'
'05' = '1970 to 1979'
'06' = '1980 to 1989'
'07' = '1990 to 1999'
'08' = '2000 to 2003'
'09' = '2004 to 2007'
'10' = '2008 to 2012'",
1,26,MONCON,Char,2,$MONTH.,Month ready for occupancy,"'01' = 'January'
'02' = 'February'
'03' = 'March'
'04' = 'April'
'05' = 'May'
'06' = 'June'
'07' = 'July'
'08' = 'August'
'09' = 'September'
'10' = 'October'
'11' = 'November'
'12' = 'December'
'97' = 'Undetermined'
Missing = Not applicable",
1,27,RENOV,Char,1,$YESNO.,Any renovations,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,28,RENADD,Char,1,$YESNO.,Addition or annex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,29,RENRDC,Char,1,$YESNO.,Reduction of floorspace,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,30,RENCOS,Char,1,$YESNO.,Cosmetic improvements,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,31,RENINT,Char,1,$YESNO.,Interior wall re-configuration,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,32,RENRFF,Char,1,$YESNO.,Roof replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,33,RENWLL,Char,1,$YESNO.,Exterior wall replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,34,RENWIN,Char,1,$YESNO.,Window replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,35,RENHVC,Char,1,$YESNO.,HVAC equipment upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,36,RENLGT,Char,1,$YESNO.,Lighting upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,37,RENPLB,Char,1,$YESNO.,Plumbing system upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,38,RENELC,Char,1,$YESNO.,Electrical upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,39,RENINS,Char,1,$YESNO.,Insulation upgrade,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
1,40,RENSAF,Char,1,$YESNO.,"Fire, safety, or security upgrade","'1' = 'Yes'
'2' = 'No'
Missing = Not applicable",
