file_order,col_name,col_type,length,format,col_description,codes,code_map
1.0,PUBID,Char,5.0,,Building identifier,00001 - 06720,{'00001 - 06720': 'continuous numerical range'}
2.0,REGION,Char,1.0,$REGION.,Census region,"'1' = 'Northeast'
'2' = 'Midwest'
'3' = 'South'
'4' = 'West'","{'00001 - 06720': 'continuous numerical range', '1': 'Northeast', '2': 'Midwest', '3': 'South', '4': 'West'}"
3.0,CENDIV,Char,1.0,$CENDIV.,Census division,"'1' = 'New England'
'2' = 'Middle Atlantic'
'3' = 'East North Central'
'4' = 'West North Central'
'5' = 'South Atlantic'
'6' = 'East South Central'
'7' = 'West South Central'
'8' = 'Mountain'
'9' = 'Pacific'","{'00001 - 06720': 'continuous numerical range', '1': 'New England', '2': 'Middle Atlantic', '3': 'East North Central', '4': 'West North Central', '5': 'South Atlantic', '6': 'East South Central', '7': 'West South Central', '8': 'Mountain', '9': 'Pacific'}"
4.0,PBA,Char,2.0,$PBA.,Principal building activity,"'01' = 'Vacant'
'02' = 'Office'
'04' = 'Laboratory'
'05' = 'Nonrefrigerated warehouse'
'06' = 'Food sales'
'07' = 'Public order and safety'
'08' = 'Outpatient health care'
'11' = 'Refrigerated warehouse'
'12' = 'Religious worship'
'13' = 'Public assembly'
'14' = 'Education'
'15' = 'Food service'
'16' = 'Inpatient health care'
'17' = 'Nursing'
'18' = 'Lodging'
'23' = 'Strip shopping mall'
'24' = 'Enclosed mall'
'25' = 'Retail other than mall'
'26' = 'Service'
'91' = 'Other'","{'00001 - 06720': 'continuous numerical range', '1': 'New England', '2': 'Middle Atlantic', '3': 'East North Central', '4': 'West North Central', '5': 'South Atlantic', '6': 'East South Central', '7': 'West South Central', '8': 'Mountain', '9': 'Pacific', '01': 'Vacant', '02': 'Office', '04': 'Laboratory', '05': 'Nonrefrigerated warehouse', '06': 'Food sales', '07': 'Public order and safety', '08': 'Outpatient health care', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other'}"
5.0,FREESTN,Char,1.0,$YES.,Freestanding building,"1' = 'Yes'
Missing='No' ","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'Middle Atlantic', '3': 'East North Central', '4': 'West North Central', '5': 'South Atlantic', '6': 'East South Central', '7': 'West South Central', '8': 'Mountain', '9': 'Pacific', '01': 'Vacant', '02': 'Office', '04': 'Laboratory', '05': 'Nonrefrigerated warehouse', '06': 'Food sales', '07': 'Public order and safety', '08': 'Outpatient health care', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No'}"
6.0,SQFT,Num,8.0,COMMA10.,Square footage,"1,001 - 1,500,000","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'Middle Atlantic', '3': 'East North Central', '4': 'West North Central', '5': 'South Atlantic', '6': 'East South Central', '7': 'West South Central', '8': 'Mountain', '9': 'Pacific', '01': 'Vacant', '02': 'Office', '04': 'Laboratory', '05': 'Nonrefrigerated warehouse', '06': 'Food sales', '07': 'Public order and safety', '08': 'Outpatient health care', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range'}"
7.0,SQFTC,Char,2.0,$SQFTC.,Square footage category,"'01' = '1,000 square feet or less'
'02' = '1,001 to 5,000 square feet'
'03' = '5,001 to 10,000 square feet'
'04' = '10,001 to 25,000 square feet'
'05' = '25,001 to 50,000 square feet'
'06' = '50,001 to 100,000 square feet'
'07' = '100,001 to 200,000 square feet'
'08' = '200,001 to 500,000 square feet'
'09' = '500,001 to 1 million square feet'
'10' = 'Over 1 million square feet'","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'Middle Atlantic', '3': 'East North Central', '4': 'West North Central', '5': 'South Atlantic', '6': 'East South Central', '7': 'West South Central', '8': 'Mountain', '9': 'Pacific', '01': '1,000 square feet or less', '02': '1,001 to 5,000 square feet', '04': '10,001 to 25,000 square feet', '05': '25,001 to 50,000 square feet', '06': '50,001 to 100,000 square feet', '07': '100,001 to 200,000 square feet', '08': '200,001 to 500,000 square feet', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range', '03': '5,001 to 10,000 square feet', '09': '500,001 to 1 million square feet', '10': 'Over 1 million square feet'}"
8.0,WLCNS,Char,2.0,$WLCNS.,Wall construction material,"'1' = 'Brick, stone, or stucco'
'2' = 'Pre-cast concrete panels'
'3' = 'Concrete block or poured concrete (above grade)'
'4' = 'Aluminum, asbestos, plastic, or wood materials (siding, shingles, tiles, or shakes)'
'5' = 'Sheet metal panels'
'6' = 'Window or vision glass (glass that can be seen through)'
'7' = 'Decorative or construction glass'
'8' = 'No one major type'
'9' = 'Other'","{'00001 - 06720': 'continuous numerical range', '1': 'Brick, stone, or stucco', '2': 'Pre-cast concrete panels', '3': 'Concrete block or poured concrete (above grade)', '4': 'Aluminum, asbestos, plastic, or wood materials (siding, shingles, tiles, or shakes)', '5': 'Sheet metal panels', '6': 'Window or vision glass (glass that can be seen through)', '7': 'Decorative or construction glass', '8': 'No one major type', '9': 'Other', '01': '1,000 square feet or less', '02': '1,001 to 5,000 square feet', '04': '10,001 to 25,000 square feet', '05': '25,001 to 50,000 square feet', '06': '50,001 to 100,000 square feet', '07': '100,001 to 200,000 square feet', '08': '200,001 to 500,000 square feet', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range', '03': '5,001 to 10,000 square feet', '09': '500,001 to 1 million square feet', '10': 'Over 1 million square feet'}"
9.0,RFCNS,Char,2.0,$RFCNS.,Roof construction material,"'1' = 'Built-up (tar, felts, or fiberglass and a ballast, such as stone)'
'2' = 'Slate or tile shingles'
'3' = 'Wood shingles, shakes, or other wooden materials'
'4' = 'Asphalt, fiberglass, or other shingles'
'5' = 'Metal surfacing'
'6' = 'Plastic, rubber, or synthetic sheeting (single or multiple ply)'
'7' = 'Concrete'
'8' = 'No one major type'
'9' = 'Other'","{'00001 - 06720': 'continuous numerical range', '1': 'Built-up (tar, felts, or fiberglass and a ballast, such as stone)', '2': 'Slate or tile shingles', '3': 'Wood shingles, shakes, or other wooden materials', '4': 'Asphalt, fiberglass, or other shingles', '5': 'Metal surfacing', '6': 'Plastic, rubber, or synthetic sheeting (single or multiple ply)', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': '1,000 square feet or less', '02': '1,001 to 5,000 square feet', '04': '10,001 to 25,000 square feet', '05': '25,001 to 50,000 square feet', '06': '50,001 to 100,000 square feet', '07': '100,001 to 200,000 square feet', '08': '200,001 to 500,000 square feet', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range', '03': '5,001 to 10,000 square feet', '09': '500,001 to 1 million square feet', '10': 'Over 1 million square feet'}"
10.0,RFCOOL,Char,1.0,$YESNO.,Cool roof materials,"'1' = 'Yes'
'2' = 'No'","{'00001 - 06720': 'continuous numerical range', '1': 'Yes', '2': 'No', '3': 'Wood shingles, shakes, or other wooden materials', '4': 'Asphalt, fiberglass, or other shingles', '5': 'Metal surfacing', '6': 'Plastic, rubber, or synthetic sheeting (single or multiple ply)', '7': 'Concrete', '8': 'No one major type', '9': 'Other', '01': '1,000 square feet or less', '02': '1,001 to 5,000 square feet', '04': '10,001 to 25,000 square feet', '05': '25,001 to 50,000 square feet', '06': '50,001 to 100,000 square feet', '07': '100,001 to 200,000 square feet', '08': '200,001 to 500,000 square feet', '11': 'Refrigerated warehouse', '12': 'Religious worship', '13': 'Public assembly', '14': 'Education', '15': 'Food service', '16': 'Inpatient health care', '17': 'Nursing', '18': 'Lodging', '23': 'Strip shopping mall', '24': 'Enclosed mall', '25': 'Retail other than mall', '26': 'Service', '91': 'Other', 'Missing': 'No', '1,001 - 1,500,000': 'continuous numerical range', '03': '5,001 to 10,000 square feet', '09': '500,001 to 1 million square feet', '10': 'Over 1 million square feet'}"
