File order,"Variable
name",Variable type,"Len-
gth",Format,Label,Values/Format codes
1.0,PUBID,Char,5.0,,Building identifier,00001 - 06720
2.0,REGION,Char,1.0,$REGION.,Census region,"'1' = 'Northeast'
'2' = 'Midwest'
'3' = 'South'
'4' = 'West'"
3.0,CENDIV,Char,1.0,$CENDIV.,Census division,"'1' = 'New England'
'2' = 'Middle Atlantic'
'3' = 'East North Central'
'4' = 'West North Central'
'5' = 'South Atlantic'
'6' = 'East South Central'
'7' = 'West South Central'
'8' = 'Mountain'
'9' = 'Pacific'"
4.0,PBA,Char,2.0,$PBA.,Principal building activity,"'01' = 'Vacant'
'02' = 'Office'
'04' = 'Laboratory'
'05' = 'Nonrefrigerated warehouse'
'06' = 'Food sales'
'07' = 'Public order and safety'
'08' = 'Outpatient health care'
'11' = 'Refrigerated warehouse'
'12' = 'Religious worship'
'13' = 'Public assembly'
'14' = 'Education'
'15' = 'Food service'
'16' = 'Inpatient health care'
'17' = 'Nursing'
'18' = 'Lodging'
'23' = 'Strip shopping mall'
'24' = 'Enclosed mall'
'25' = 'Retail other than mall'
'26' = 'Service'
'91' = 'Other'"
5.0,FREESTN,Char,1.0,$YES.,Freestanding building,"1' = 'Yes'
Missing='No' "
6.0,SQFT,Num,8.0,COMMA10.,Square footage,"1,001 - 1,500,000"
7.0,SQFTC,Char,2.0,$SQFTC.,Square footage category,"'01' = '1,000 square feet or less'
'02' = '1,001 to 5,000 square feet'
'03' = '5,001 to 10,000 square feet'
'04' = '10,001 to 25,000 square feet'
'05' = '25,001 to 50,000 square feet'
'06' = '50,001 to 100,000 square feet'
'07' = '100,001 to 200,000 square feet'
'08' = '200,001 to 500,000 square feet'
'09' = '500,001 to 1 million square feet'
'10' = 'Over 1 million square feet'"
8.0,WLCNS,Char,2.0,$WLCNS.,Wall construction material,"'1' = 'Brick, stone, or stucco'
'2' = 'Pre-cast concrete panels'
'3' = 'Concrete block or poured concrete (above grade)'
'4' = 'Aluminum, asbestos, plastic, or wood materials (siding, shingles, tiles, or shakes)'
'5' = 'Sheet metal panels'
'6' = 'Window or vision glass (glass that can be seen through)'
'7' = 'Decorative or construction glass'
'8' = 'No one major type'
'9' = 'Other'"
9.0,RFCNS,Char,2.0,$RFCNS.,Roof construction material,"'1' = 'Built-up (tar, felts, or fiberglass and a ballast, such as stone)'
'2' = 'Slate or tile shingles'
'3' = 'Wood shingles, shakes, or other wooden materials'
'4' = 'Asphalt, fiberglass, or other shingles'
'5' = 'Metal surfacing'
'6' = 'Plastic, rubber, or synthetic sheeting (single or multiple ply)'
'7' = 'Concrete'
'8' = 'No one major type'
'9' = 'Other'"
10.0,RFCOOL,Char,1.0,$YESNO.,Cool roof materials,"'1' = 'Yes'
'2' = 'No'"
11.0,RFTILT,Char,1.0,$PITCH.,Roof tilt,"'1' = 'Flat'
'2' = 'Shallow pitch'
'3' = 'Steeper pitch'"
12.0,BLDSHP,Char,2.0,$SHAPE.,Building shape,"'01' = 'Square'
'02' = 'Wide rectangle'
'03' = 'Narrow rectangle'
'04' = 'Rectangle or square with an interior courtyard'
'05' = '""H"" shaped'
'06' = '""U"" shaped'
'07' = '""E"" shaped'
'08' = '""T"" shaped'
'09' = '""L"" shaped'
'10' = '""+"" or cross shaped'
'11' = 'Other shape'
Missing = Not applicable"
13.0,GLSSPC,Char,1.0,$GLSPCT.,Percent exterior glass,"'1' = '1 percent or less'
'2' = '2 to 10 percent'
'3' = '11 to 25 percent'
'4' = '26 to 50 percent'
'5' = '51 to 75 percent'
'6' = '76 to 100 percent'
Missing = Not applicable"
14.0,EQGLSS,Char,1.0,$YESNO.,Equal glass on all sides,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
15.0,SUNGLS,Char,1.0,$GLSAREA.,Glass sides most sunlight,"'1' = 'More glass area'
'2' = 'Less glass area'
'3' = 'About the same amount'
Missing = Not applicable"
16.0,NFLOOR,Num,8.0,,Number of floors,"1 - 14
994 = 15 to 25
995 = More than 25"
17.0,BASEMNT,Num,8.0,,Number of underground floors,"0 - 7
Missing = Not applicable"
18.0,FLCEILHT,Num,8.0,,Floor to ceiling height,"6 - 50
995 = More than 50"
19.0,ATTIC,Char,1.0,$YESNO.,Attic,"'1' = 'Yes'
'2' = 'No'"
20.0,ELEVTR,Char,1.0,$YESNO.,Elevators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
21.0,NELVTR,Num,8.0,,Number of elevators,"1 - 50
995 = More than 50"
22.0,ESCLTR,Char,1.0,$YESNO.,Escalators,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
23.0,NESLTR,Num,8.0,,Number of escalators,"1 - 20
995 = More than 20"
24.0,YRCON,Num,8.0,,Year of construction,"995 = Before 1946
1946 - 2012"
25.0,YRCONC,Char,2.0,$YRCONC.,Year of construction category,"'01' = 'Before 1920'
'02' = '1920 to 1945'
'03' = '1946 to 1959'
'04' = '1960 to 1969'
'05' = '1970 to 1979'
'06' = '1980 to 1989'
'07' = '1990 to 1999'
'08' = '2000 to 2003'
'09' = '2004 to 2007'
'10' = '2008 to 2012'"
26.0,MONCON,Char,2.0,$MONTH.,Month ready for occupancy,"'01' = 'January'
'02' = 'February'
'03' = 'March'
'04' = 'April'
'05' = 'May'
'06' = 'June'
'07' = 'July'
'08' = 'August'
'09' = 'September'
'10' = 'October'
'11' = 'November'
'12' = 'December'
'97' = 'Undetermined'
Missing = Not applicable"
27.0,RENOV,Char,1.0,$YESNO.,Any renovations,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
28.0,RENADD,Char,1.0,$YESNO.,Addition or annex,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
29.0,RENRDC,Char,1.0,$YESNO.,Reduction of floorspace,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
30.0,RENCOS,Char,1.0,$YESNO.,Cosmetic improvements,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
31.0,RENINT,Char,1.0,$YESNO.,Interior wall re-configuration,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
32.0,RENRFF,Char,1.0,$YESNO.,Roof replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
33.0,RENWLL,Char,1.0,$YESNO.,Exterior wall replacement,"'1' = 'Yes'
'2' = 'No'
Missing = Not applicable"
