File order,"Variable
name",Variable type,Length,Label,Values/Format codes
1,PUBID,Char,5,Public use file building identifier,00001 - 06436
2,REGION,Char,1,Census Region,"1=Northeast
2=Midwest
3=South
4=West"
3,CENDIV,Char,1,Census division,"1=New England
2=Middle Atlantic  
3=East North Central        
4=West North Central 
5=South Atlantic 
6=East South Central 
7=West South Central 
8=Mountain 
9=Pacific"
4,PBA,Num,8,Principal building activity,"1=Vacant
2=Office
4=Laboratory
5=Nonrefrigerated warehouse
6=Food sales
7=Public order and safety
8=Outpatient health care
11=Refrigerated warehouse
12=Religious worship
13=Public assembly
14=Education
15=Food service
16=Inpatient health care
17=Nursing
18=Lodging
23=Strip shopping center
24=Enclosed mall
25=Retail other than mall
26=Service
91=Other"
5,SQFT,Num,8,Square footage,"1,001 - 2,100,000"
6,SQFTC,Num,8,Square footage category,"2=1,001 to 5,000 square feet
3=5,001 to 10,000 square feet
4=10,001 to 25,000 square feet
5=25,001 to 50,000 square feet
6=50,001 to 100,000 square feet
7=100,001 to 200,000 square feet
8=200,001 to 500,000 square feet
9=500,001 to 1 million square feet
10=Over 1 million square feet"
7,WLCNS,Num,8,Wall construction material,"1=Brick, stone, or stucco
2=Pre-cast concrete panels
3=Concrete block or poured concrete (above grade)
4=Aluminum, asbestos, plastic, or wood materials (siding, shingles, tiles,5=Sheet metal panels
6=Window or vision glass (glass that can be seen through)
7=Decorative or construction glass (glass that cannot be seen through)
8=Other"
8,RFCNS,Num,8,Roof construction material,"1=Built-up (tar, felts, or fiberglass and a ballast, such as stone)
2=Slate or tile shingles
3=Wood shingles, shakes, or other wooden materials
4=Asphalt, fiberglass, or other shingles
5=Metal surfacing
6=Plastic, rubber, or synthetic sheeting (single or multiple ply)
7=Concrete
8=Other"
9,RFCOOL,Num,8,Cool roof,"1=Yes
2=No"
10,RFTILT,Num,8,Roof tilt,"1=Flat
2=Shallow pitch
3=Steeper pitch"
11,BLDSHP,Num,8,Building shape,"1=Square
2=Wide rectangle
3=Narrow rectangle
4=Rectangle or square with an interior courtyard
5=""H"" shaped
6=""U"" shaped
7=""E"" shaped
8=""T"" shaped
9=""L"" shaped
10=""+"" or cross shaped
11=Other shape"
12,GLSSPC,Num,8,Percent exterior glass,"1=1% or less
2=2 to 10%
3=11 to 25%
4=26 to 50%
5=51 to 75%
6=76 to 100%"
13,NFLOOR,Num,8,Number of floors,"1 - 9
994=10 - 14
995=15 or more"
14,BASEMNT,Num,8,Number of underground floors,"0 - 4
995=5 or more
Missing=Not applicable"
15,FLCEILHT,Num,8,Floor to ceiling height,"7 - 50
995=More than 50"
