" ","2016"
"Crimes",""
"Violent Crimes","56,351"
"Homicide","622"
"Rape (Forcible Rape prior to 2014)","4,153"
"Rape","3,913"
"Attempted Rape","240"
"Robbery","20,147"
"Weapon",""
"Firearm","5,410"
"Knife or Cutting Instrument","1,953"
"Other Weapon","2,158"
"Strong-Arm","10,626"
"Location",""
"Highway","9,884"
"Commercial","4,335"
"Gas Station","323"
"Convenience Store","770"
"Residence","1,254"
"Bank","164"
"Miscellaneous","3,417"
"Aggravated Assault","31,429"
"Weapon",""
"Firearm","8,036"
"Knife or Cutting Instrument","6,398"
"Other Weapon","9,529"
"Hands  Fists  Feet","7,466"
"Property Crimes","252,224"
"Burglary","46,918"
"Means of Entry",""
"Forcible Entry","34,144"
"No Force","12,774"
"Location / Time",""
"Residence","27,738"
"Night","6,821"
"Day","12,255"
"Unknown","8,662"
"Non-Residence","19,180"
"Night","8,571"
"Day","4,592"
"Unknown","6,017"
"Motor Vehicle Theft","47,496"
"Automotive","38,560"
"Trucks and Buses","6,723"
"Other","2,213"
"Larceny-Theft","157,810"
"Type",""
"Pocket-Picking","553"
"Purse-Snatching","590"
"Shoplifting","24,597"
"From Motor Vehicle","54,703"
"Motor Vehicle Accessories","20,698"
"Bicycles","6,735"
"From Building","24,203"
"Coin Operated Machine","502"
"Other","25,229"
"Value",""
"Over $400","66,520"
"$200 through $400","23,271"
"$50 through $199","28,402"
"Under $50","39,617"
"Arson","2,360"
"Structural Property","558"
"Mobile Property","570"
"Other Property","1,232"
