" ","2016"
"Crimes",""
"Violent Crimes","2,192"
"Homicide","31"
"Rape (Forcible Rape prior to 2014)","269"
"Rape","258"
"Attempted Rape","11"
"Robbery","725"
"Weapon",""
"Firearm","158"
"Knife or Cutting Instrument","162"
"Other Weapon","91"
"Strong-Arm","314"
"Location",""
"Highway","229"
"Commercial","127"
"Gas Station","15"
"Convenience Store","57"
"Residence","46"
"Bank","11"
"Miscellaneous","240"
"Aggravated Assault","1,167"
"Weapon",""
"Firearm","194"
"Knife or Cutting Instrument","271"
"Other Weapon","331"
"Hands  Fists  Feet","371"
"Property Crimes","16,415"
"Burglary","2,910"
"Means of Entry",""
"Forcible Entry","1,872"
"No Force","1,038"
"Location / Time",""
"Residence","1,546"
"Night","396"
"Day","706"
"Unknown","444"
"Non-Residence","1,364"
"Night","613"
"Day","249"
"Unknown","502"
"Motor Vehicle Theft","1,650"
"Automotive","1,255"
"Trucks and Buses","293"
"Other","102"
"Larceny-Theft","11,855"
"Type",""
"Pocket-Picking","52"
"Purse-Snatching","7"
"Shoplifting","2,985"
"From Motor Vehicle","4,181"
"Motor Vehicle Accessories","783"
"Bicycles","655"
"From Building","1,107"
"Coin Operated Machine","21"
"Other","2,064"
"Value",""
"Over $400","4,002"
"$200 through $400","1,803"
"$50 through $199","2,503"
"Under $50","3,547"
"Arson","113"
"Structural Property","34"
"Mobile Property","32"
"Other Property","47"
