" ","2016"
"Total","44,799"
"Law Enforcement","36,253"
"Sworn","23,734"
"Civilian","12,519"
"Police Dept","19,219"
"Sworn","14,231"
"Civilian","4,988"
"Sheriff's Dept","16,721"
"Sworn","9,316"
"Civilian","7,405"
"CA Highway Patrol","0"
"Sworn","0"
"Civilian","0"
"Other","313"
"Sworn","187"
"Civilian","126"
"Prosecution","2,040"
"Attorneys","966"
"Investigators","261"
"Clerical","476"
"Other","337"
"Public Defense","1,040"
"Attorneys","688"
"Investigators","73"
"Clerical","157"
"Other","122"
"Probation Dept","5,466"
"Probation Officers","4,036"
"Other","1,430"
