" ","2016"
"Total","9,759"
"Law Enforcement","7,439"
"Sworn","4,307"
"Civilian","3,132"
"Police Dept","3,718"
"Sworn","2,495"
"Civilian","1,223"
"Sheriff's Dept","3,622"
"Sworn","1,745"
"Civilian","1,877"
"CA Highway Patrol","0"
"Sworn","0"
"Civilian","0"
"Other","99"
"Sworn","67"
"Civilian","32"
"Prosecution","760"
"Attorneys","273"
"Investigators","175"
"Clerical","120"
"Other","192"
"Public Defense","385"
"Attorneys","202"
"Investigators","74"
"Clerical","57"
"Other","52"
"Probation Dept","1,175"
"Probation Officers","815"
"Other","360"
