" ","2016"
"Total","2,787"
"Law Enforcement","2,037"
"Sworn","1,312"
"Civilian","725"
"Police Dept","744"
"Sworn","525"
"Civilian","219"
"Sheriff's Dept","1,247"
"Sworn","756"
"Civilian","491"
"CA Highway Patrol","0"
"Sworn","0"
"Civilian","0"
"Other","46"
"Sworn","31"
"Civilian","15"
"Prosecution","257"
"Attorneys","101"
"Investigators","55"
"Clerical","47"
"Other","54"
"Public Defense","103"
"Attorneys","59"
"Investigators","15"
"Clerical","15"
"Other","14"
"Probation Dept","390"
"Probation Officers","303"
"Other","87"
