"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.08",,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2016",,"652","652","       133","        88","       64","        19","         7","       155","        41","       153","        21","-5","9","7.5","2.58","95","6218",,,"6218",,,,,,,,,,,"40.93",,"63.1","49.3","61.4","37.2",,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2016",,"883","883","       129","        70",,,"         3","       130","        34","       152","        17","-6",,,"5.02","94","5501",,,"5501",,,,,,,,,,,"37.47",,,"51.5","62.2","40.8",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2016",,"306","306","       208","       103","      131","        53","        19","       170","        74","       111","         5","-25","23","10.0","3.15","92","8019","72",,"8019","82","75","29",,"33","33","47",,"53","50","41.24",,"170.2","43.7","53.6","33.8",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2016",,"188","188","       180","       111",,,"         6","       173","        72","       103","         2","-6",,,"2.40","90","7839",,,"7839",,,,,,,,,,,"44.17",,,"43.5","52.6","34.4",,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2016",,,,"       137","        74",,,,,,,,,,,"2.85",,,,,,,,,,,,,,,,"38.10",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2016",,"1004","1004","       151","        90","       56","        25","         2","       111","        35","       165","        15","-3","10","7.0","3.84","95","5542",,,"5542",,,,,,,,,,,"42.07",,"68.9","52.4","62.4","42.4",,,,,,,,
"USC00204756","LEWISTON 3 W, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00205603","MORENCI, MI US","2016",,,,,,,,,,,,,,,,,,"5579",,,"5579",,,,,,,,,,,,,,,,,,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","2016",,,,"       140","        78",,"        29",,,,,,,,"11.0","1.19",,,,,,,,,,,,,,,,"27.26",,"89.6",,,,,,,,,,,
"USC00208443","VASSAR, MI US","2016",,"603","603","       122","        71",,,"        10","       153","        46","       143","        13","-11",,,"2.52","93","6277",,,"6277",,,,,,,,,,,"34.05",,,"48.5","59.7","37.4",,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2016","9.2","1376","1376","       118","        62",,,"         1","       110","        31","       166","        53","-4",,,"1.64","100","4813",,,"4813",,,,,,,,,,,"27.98",,,"54.2","64.6","43.8",,"       260","       250",,,"42.9","57.9",
"USC00201250","CARLETON 2 W, MI US","2016",,"917","917","       134","        76","       40","        11","         5","       119","        37","       154","        16","-7","11","7.3","1.71","95","5472",,,"5472",,,,,,,,,,,"35.68",,"35.4","51.7","61.3","42.1",,,,,,,,
"USC00201492","CHEBOYGAN, MI US","2016",,"403","403","       195","        83","      116","        39","         4","       139","        57","       107","         4","-12","15","10.0","1.16","93","7259",,,"7259",,,,,,,,,,,"30.37",,"100.7","46.2","54.8","37.6",,,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","2016",,,,"       153","        95",,,,,,,,,,,"6.67",,,,,,,,,,,,,,,,"50.08",,,,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","2016",,,,"       149","        96",,,,,,,,,,,"5.37",,,,,,,,,,,,,,,,"47.07",,,,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2016","9.6","249","249","       168","        68",,,"         8","       162","        83","        89","         0","-8",,,"1.47","89","8046",,,"8046",,,,,,,,,,,"31.04",,,"43.4","51.5","35.2",,"       280","       270",,,"48.1","55.9",
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2016",,,,"       153","        81",,,,,,,,,,,"1.83",,,,,,,,,,,,,,,,"36.66",,,,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2016",,"774","774","       120","        74","       55","        11","         4","       137","        41","       154","        14","-6","8","7.0","2.10","94","5814",,,"5814",,,,,,,,,,,"33.29",,"41.3","50.3","60.9","39.8",,,,,,,,
"US1MICL0005","HARRISON 5.2 ESE, MI US","2016",,,,"       144","        74",,,,,,,,,,,"1.26",,,,,,,,,,,,,,,,"33.04",,,,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2016","6.5","735","735","       152","        70",,,"         0","       125","        52","       142","        17","0",,,"1.24","94","6291",,,"6291",,,,,,,,,,,"26.45",,,"49.5","58.2","40.9",,"       290","       280",,,"38.9","53.0",
"US1MIIH0032","WILLIAMSTON 4.0 ESE, MI US","2016",,,,"       142","        72",,,,,,,,,,,"3.96",,,,,,,,,,,,,,,,"39.15",,,,,,,,,,,,,
"US1MIIH0034","MASON 5.8 ENE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.25",,,,,,,,,,,,,
"USC00201818","CORUNNA 2 NE, MI US","2016",,"677","677","       125","        67",,,"         5","       148","        41","       154","        18","-7",,,"2.43","94","6082",,,"6082",,,,,,,,,,,"33.51",,,"49.2","60.1","38.3",,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2016","7.8",,,"       147","        79",,,,,,,,,,,"3.03",,,,,,,,,,,,,,,,"35.44",,,,,,,"       230","       250",,,"38.0","55.0",
"USC00205065","MANISTEE 3 SE, MI US","2016",,"633","633","       141","        81",,,"         0","       119","        44","       138","         1","6",,,"1.90","91","6040",,,"6040",,,,,,,,,,,"32.49",,,"49.7","58.0","41.4",,,,,,,,
"USC00206398","PAULDING, MI US","2016",,"208","208","       186","        87","      126","        41","        29","       191","        92","       109","         2","-26","24","9.8","2.47","90","8399",,,"8399",,,,,,,,,,,"39.06",,"133.6","41.4","52.0","30.8",,,,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","2016",,,,"       108","        60",,,,,,,,,,,"1.88",,,,,,,,,,,,,,,,"32.05",,,,,,,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.22",,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","2016",,"326","326","       177","        94","      128","        42","        20","       174","        75","       115","         2","-18","20","7.7","2.06","90","7967",,,"7967",,,,,,,,,,,"36.28",,"129.3","43.7","53.3","34.0",,,,,,,,
