"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HAY - ACRES HARVESTED  -  <b>VALUE</b>","HAY - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","50,736,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","52,238,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","52,425,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","52,839,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","52,777,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","53,185,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","54,529,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","57,153,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","57,973,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","54,653,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","55,204,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","59,574,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","59,775,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","60,152,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,006,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","60,632,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,637,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,944,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","63,371,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","63,942,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","63,516,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","60,355,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","63,181,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","60,006,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,084,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,169,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","59,764,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","58,815,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","59,689,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","58,903,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,834,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","61,030,000",""
