"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HOPS - ACRES HARVESTED  -  <b>VALUE</b>","HOPS - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","60,872",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","58,641",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","56,544",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","55,035",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","53,989",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","50,857",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,633",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","38,011",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","35,288",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,683",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,787",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,289",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,726",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","40,898",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,911",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,365",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,463",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,742",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,669",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,309",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","35,911",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","36,120",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,260",""
