"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2011",,"626","626","       140","        73","       75",,"        12","       166","        52","       137","        18","-17","20",,"2.46","97","7396",,,"7396",,,,,,,,,,,"38.64",,"47.2","59.0","35.5",,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2011",,"781","781","       133","        91",,,"         4","       131","        54","       127","        20","-5",,,"2.74","99","6582",,,"6582",,,,,,,,,,,"45.15",,"49.1","57.9","40.2",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2011",,"275","275","       162","        72","      101","        30","        26","       200","        82","       113","        12","-23","15","6.0","2.77","95","9146","71","73","9146","87","74","24","29","29","30","45","47","51","49","28.44","91.8","41.3","53.0","29.6",,,,,,,
"USC00203421","GREENLAND 6 N, MI US","46.8736","-89.1006","241.1","2011",,"223","223","       171","        85",,,"         6","       187","        82","       100","         3","-4",,,"1.46","93",,,,,,,,,,,,,,,"34.37",,"42.7","52.1","33.3",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2011",,"722","722","       128","        78",,,"         2","       122","        44","       124","        11","-3",,,"4.74","95",,,,,,,,,,,,,,,"42.88",,"49.2","58.0","40.2",,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","2011",,"916","916",,,,"        25","         2","       119","        36","       126","        26","-12",,"15.0",,"101","5880",,,"5880",,,,,,,,,,,,"87.8","51.1","60.1","42.1",,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2011",,"902","902","       147","        95",,"        13","        13","       138","        43","       134","        36","-15",,"5.8","2.95","103",,,,,,,,,,,,,,,"51.06","41.4","49.4","60.3","38.5",,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","45.051565","-83.44876","178.9","2011",,,,"       137","        59",,"        21",,,,,,,,"4.5","2.30",,,,,,,,,,,,,,,,"34.41","60.0",,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2011",,"565","565","       149","        78",,,"        17","       148","        59","       124","        14","-16",,,"1.86","98","7569",,,"7569",,,,,,,,,,,"35.80",,"46.6","57.1","36.0",,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","42.0283","-84.1108","295.7","2011",,"802","802","       154","        98",,,"         7","       140","        47","       136","        22","-7",,,"2.07","97","6688",,,"6688",,,,,,,,,,,"46.59",,"48.9","59.1","38.8",,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23666","-83.52638","215.7","2011","8.5","1035","1035","       174","        92",,,"         6","       127","        48","       142","        33","-10",,,"2.09","103","6572",,,"6572",,,,,,,,,,,"43.72",,"51.0","60.7","41.2","       230","       240",,,"45.0","85.0",
"USC00201250","CARLETON 2 W, MI US","42.0636","-83.4358","191.1","2011",,,,"       162","       102",,,,,,,,,,,"2.98",,"6613",,,"6613",,,,,,,,,,,"51.70",,,,,,,,,,,
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2011",,"338","338","       160","        75","       71","        25","        13","       162","        64","        98","         3","-11","10","5.0","2.35","92","8196",,,"8196",,,,,,,,,,,"37.93","53.0","44.1","52.9","35.3",,,,,,,
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","2011",,"580","580","       123","        83",,,"         5","       129","        63","       120","        11","-6",,,"2.00","98","7208",,,"7208",,,,,,,,,,,"36.62",,"46.9","55.4","38.3",,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","41.83705","-86.30048","219.2","2011",,,,"       164","       103",,,,,,,,,,,"2.35",,,,,,,,,,,,,,,,"48.54",,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","41.818287","-86.342251","231.3","2011",,,,"       163","        94",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"45.39",,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","47.16594","-88.48076","323.9","2011","9.2","260","260",,,,,"        13","       179","        92","        92","         2","-6",,,,"91","9101",,,"9101",,,,,,,,,,,,,"41.6","49.9","33.2","       280","       270",,,"51.9","68.0",
"US1MINW0006","FREMONT 3.5 NNW, MI US","43.5106824","-85.9665925","263.7","2011",,,,"       117","        80",,,,,,,,,,,"2.26",,,,,,,,,,,,,,,,"38.50",,,,,,,,,,,
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","43.606302","-85.641918","298.1","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.33",,,,,,,,,,,
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2011",,,,"       156","        89",,,,,,,,,,,"3.48",,,,,,,,,,,,,,,,"44.08",,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","2011","6.0","636","636","       144","        62",,,"         3","       149","        62","       121","        11","-4",,,"1.19","96","7386",,,"7386",,,,,,,,,,,"27.35",,"47.2","56.2","38.3","       140","       140",,,"230.0","230.0",
