"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","43.666367","-83.90605","178.3","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.92",,,,,,,,,,,
"USC00201802","CORNELL 5 SE, MI US","45.8269","-87.1589","242.0","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.13",,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","2013",,"542","542","       154","        83",,,"         9","       174","        55","       152","        14","-12",,,"2.64","96",,,,,,,,,,,,,,,"42.06",,"46.4","58.2","34.6",,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.16",,,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","41.91636","-84.01635","231.6","2013",,"601","601","       120","        78",,,"         2","       156","        58","       135","         8","-2",,,"2.64","94","6506",,,"6506",,,,,,,,,,,"40.70",,"47.8","57.2","38.4",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","46.3414","-86.9242","265.2","2013",,"294","294","       214","       107","      155","        58","        29","       197","        94","        98","         6","-17","30","10.0","1.46","94","8652","74",,"8652","85","75","28",,"32","32","45",,"51","48","36.38","184.6","40.2","50.1","30.3",,,,,,,
"USC00203421","GREENLAND 6 N, MI US","46.8736","-89.1006","241.1","2013",,"212","212","       191","       111",,,"         2","       195","        97","        97","         1","-1",,,"2.23","90","8834",,,"8834",,,,,,,,,,,"43.00",,"40.2","49.2","31.2",,,,,,,
"US1MIAP0002","OSSINEKE 1.0 NNE, MI US","44.9215","-83.427","180.1","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.77",,,,,,,,,,,
"US1MIBY0006","BAY CITY 2.2 WNW, MI US","43.6024894714355","-83.9293670654297","183.2","2013",,,,"       155","        74",,,,,,,,,,,"2.13",,,,,,,,,,,,,,,,"37.94",,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","2013",,,,"       147","        80",,,,,,,,,,,"2.97",,"6493",,,"6493",,,,,,,,,,,"41.99",,,,,,,,,,,
"USC00205603","MORENCI, MI US","41.7216","-84.2147","234.7","2013",,"738","738","       134","        78","       41","         9","         3","       156","        53","       154","        13","0","8","6.5","2.05","97",,,,,,,,,,,,,,,"35.90","29.2","48.5","59.1","37.9",,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","45.051565","-83.44876","178.9","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20",,,,,,,,,,,
"US1MIBN0002","STEVENSVILLE 1.7 SSE, MI US","41.991137","-86.508585","187.8","2013",,,,"       139","        88",,,,,,,,,,,"2.29",,,,,,,,,,,,,,,,"38.44",,,,,,,,,,,
"USC00208443","VASSAR, MI US","43.3656","-83.5828","192.0","2013",,"448","448","       159","        79",,,"        11","       168","        63","       132","         7","-8",,,"2.44","94","7111",,,"7111",,,,,,,,,,,"36.70",,"45.6","55.8","35.4",,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","42.23666","-83.52638","215.7","2013","8.7","951","951","       144","        74",,,"         2","       132","        43","       155","        18","-2",,,"2.45","97","5842",,,"5842",,,,,,,,,,,"37.04",,"50.8","60.6","41.0","       220","       200",,,"48.1","77.0",
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2013",,"281","281","       189","        87","      124","        49","        20","       166","        79","        95","         3","-9","18","12.0","2.39","94","7990",,,"7990",,,,,,,,,,,"35.64","111.3","42.4","51.5","33.4",,,,,,,
"USC00207350","SANDUSKY, MI US","43.4194","-82.8191","235.9","2013",,"382","382","       124","        86",,,"         2","       155","        64","       111","         3","-2",,,"2.02","94","6899",,,"6899",,,,,,,,,,,"36.37",,"45.2","54.2","36.2",,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","41.83705","-86.30048","219.2","2013",,,,"       170","        99",,,,,,,,,,,"2.24",,,,,,,,,,,,,,,,"43.28",,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","41.818287","-86.342251","231.3","2013",,,,"       165","        95",,,,,,,,,,,"2.25",,,,,,,,,,,,,,,,"42.03",,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","47.16594","-88.48076","323.9","2013","9.4","207","207","       164","        74",,,"        21","       190","       108","        75","         1","-14",,,"1.54","90","9258",,,"9258",,,,,,,,,,,"30.40",,"39.2","47.4","31.0","       280","       290",,,"48.1","59.1",
"US1MINW0007","WHITE CLOUD 2.9 NW, MI US","43.591","-85.798","294.7","2013",,,,"       184","        91",,,,,,,,,,,"1.82",,,,,,,,,,,,,,,,"44.94",,,,,,,,,,,
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","43.606302","-85.641918","298.1","2013",,,,"       168","        96",,,,,,,,,,,"2.40",,,,,,,,,,,,,,,,"44.30",,,,,,,,,,,
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","42.687418","-83.413166","299.3","2013",,,,"       146","        77",,,,,,,,,,,"1.65",,,,,,,,,,,,,,,,"37.20",,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","42.1508","-84.0236","294.1","2013",,"598","598","       136","        76",,,"         5","       160","        58","       143","         8","-3",,,"2.55","93","6728",,,"6728",,,,,,,,,,,"38.78",,"47.3","57.3","37.4",,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","2013","6.3","513","513","       167","        77",,,"         3","       152","        78","       128","        10","-3",,,"2.80","96","7131",,,"7131",,,,,,,,,,,"36.19",,"45.8","54.4","37.1","       320","       280",,,"36.0","46.1",
"US1MIBR0003","MIDDLEVILLE 4.3 SSE, MI US","42.653203","-85.440492","238.4","2013",,,,"       167","        89",,,,,,,,,,,"2.91",,,,,,,,,,,,,,,,"45.06",,,,,,,,,,,
"USC00201818","CORUNNA 2 NE, MI US","42.9986","-84.0744","232.3","2013",,"593","593","       139","        69",,,"         5","       157","        59","       142","         8","-3",,,"4.64","95","6604",,,"6604",,,,,,,,,,,"37.90",,"47.2","57.2","37.1",,,,,,,
"USW00094871","BENTON HARBOR, MI US","42.12894","-86.41518","195.4","2013","7.8",,,"       140","        73",,,,,"        49","       136","        10",,,,"2.68","97","6253",,,"6253",,,,,,,,,,,"33.78",,,"57.2",,"       270","       280",,,"40.0","59.1",
"USC00201017","BROOKLYN 2 ENE, MI US","42.1128","-84.2097","304.8","2013",,,,"       144","        66",,,,,,,,,,,"1.78",,,,,,,,,,,,,,,,"36.05",,,,,,,,,,,
"USC00205065","MANISTEE 3 SE, MI US","44.2113","-86.2938","204.2","2013",,"461","461","       158","       103",,,"         3","       146","        67","       131","         5","-2",,,"1.70","92","6801",,,"6801",,,,,,,,,,,"41.31",,"46.4","54.9","37.9",,,,,,,
"USC00206398","PAULDING, MI US","46.3976","-89.1794","416.7","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","42.0212526619434","-83.3944923430681","187.5","2013",,,,"       134","        69",,,,,,,,,,,"2.15",,,,,,,,,,,,,,,,"39.54",,,,,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","44.9215","-85.5161","199.9","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.23",,,,,,,,,,,
"USC00200050","AHMEEK 1 SW, MI US","47.292","-88.4209","331.6","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","46.4866","-84.4089","192.0","2013",,"217","217","       187","       105","      167","        57","        42","       183","        99","        93","         2","-19","30","5.6","2.89","93","8969",,,"8969",,,,,,,,,,,"48.56","159.4","39.3","49.1","29.4",,,,,,,
"US1MIMR0004","MONROE 3.0 S, MI US","41.872635","-83.380939","182.3","2013",,,,"       148","        73",,,,,,,,,,,"1.62",,,,,,,,,,,,,,,,"41.77",,,,,,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","45.7858","-88.0841","326.4","2013",,"382","382","       126","        78","      139","        25","        39","       188","        95","       117","         5","-17","20","5.5","1.34","94","8760",,,"8760",,,,,,,,,,,"32.05","65.6","40.7","51.2","30.1",,,,,,,
"USC00203529","HALE LOUD DAM, MI US","44.4633","-83.7216","221.9","2013",,,,,,,,,,,,,,,,,,"7076",,,"7076",,,,,,,,,,,,,,,,,,,,,,
