"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.33",,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2014",,,,,,,,,,,,,,,,,,"7919",,,"7919",,,,,,,,,,,,,,,,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2014",,,,"       187","       111",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"51.36",,,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2014",,"508","508","       126","        74",,,"        19","       142","        78","       139","         2","-15",,,"2.32","93","7474",,,"7474",,,,,,,,,,,"32.72",,"46.1","55.6","36.5",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2014",,"142","142","       201","        94",,,"        60","       192","       107","        91","         0","-32",,,"2.12","87","10193","68","68","10193","82",,"31","31","33",,"44","46","50",,"41.37",,"37.4","47.8","27.0",,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2014",,,,"       179","       104",,,,,,,,,,,"1.47",,,,,,,,,,,,,,,,"43.59",,,,,,,,,,,
"US1MIBY0006","BAY CITY 2.2 WNW, MI US","2014",,,,"       137","        69",,,,,,,,,,,"4.96",,,,,,,,,,,,,,,,"35.56",,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2014",,,,"       151","        81",,,,,,,,,,,"2.31",,,,,,,,,,,,,,,,"35.22",,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2014",,"339","339","       132","        73","       80","        36","        15","       140","        69","       130","         1","-10","24","7.0","2.53","90",,,,,,,,,,,,,,,"35.47","123.3","45.8","56.1","35.4",,,,,,,
"USC00205603","MORENCI, MI US","2014",,,,,,"       87","        18",,,,,,,"16","7.0",,,,,,,,,,,,,,,,,,"62.2",,,,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","2014",,,,"       151","        73",,"        20",,,,,,,,"10.9","2.85",,,,,,,,,,,,,,,,"35.37","60.7",,,,,,,,,,
"USC00208443","VASSAR, MI US","2014",,,,"       132","        80",,,,,,,,,,,"2.45",,,,,,,,,,,,,,,,"35.76",,,,,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2014","9.2","877","877","       117","        59",,,"        17","       124","        57","       151","        15","-13",,,"1.93","96","6702",,,"6702",,,,,,,,,,,"25.33",,"49.3","59.3","39.2","       220","        90",,,"52.1","94.0",
"USC00201250","CARLETON 2 W, MI US","2014",,"542","542","       137","        71","       80","        20","        23","       136","        69","       138","         3","-16","14","8.4","3.94","91","7314",,,"7314",,,,,,,,,,,"34.81","70.4","46.7","56.3","36.9",,,,,,,
"USC00201492","CHEBOYGAN, MI US","2014",,"155","155","       173","        84","      133","        41","        44","       173","        88","        90","         0","-21","25","13.0","1.63","89","9355",,,"9355",,,,,,,,,,,"34.74","111.0","40.0","49.4","30.6",,,,,,,
"USC00208682","WATERSMEET 12 WSW, MI US","2014",,,,"       175","        93",,,,,,,,,,,"1.95",,,,,,,,,,,,,,,,"42.48",,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2014","10.1","111","111","       136","        71",,,"        44","       183","       117","        66","         0","-25",,,"2.12","89","10007",,,"10007",,,,,,,,,,,"29.30",,"37.0","45.3","28.7","        80","        80",,,"67.1","70.9",
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.04",,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35.13",,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2014",,"474","474","       139","        79",,,"        29","       158","        74","       131","         1","-17",,,"2.24","93","7764",,,"7764",,,,,,,,,,,"34.31",,"45.2","55.8","34.6",,,,,,,
