"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MIBY0002","BAY CITY 5.3 N, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.27",,,,,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2015",,"457","457","       137","        75",,,"        29","       151","        54","       150","         7","-23",,,"2.04","90",,,,,,,,,,,,,,,"35.08",,,"47.1","59.5","34.8",,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2015",,,,"       169","        86",,,,,,,,,,,"2.03",,"9771",,,"9771",,,,,,,,,,,"35.66",,,,,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2015",,"646","646","       121","        70",,,"        17","       131","        51","       148","         7","-18",,,"3.88","91","7002",,,"7002",,,,,,,,,,,"35.69",,,"49.2","59.5","38.8",,,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2015",,"275","275","       171","        90","       99","        33","        41","       178","        80","       111","         4","-27","18","6.0","1.50","93","9682","70","70","9682","80","70","30","30","33","30","46","47","51","48","33.69",,"104.6","41.4","51.6","31.2",,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2015",,"197","197","       158","        91",,,"        21","       177","        81","        99","         0","-12",,,"2.54","88","9273",,,"9273",,,,,,,,,,,"33.39",,,"42.2","51.7","32.7",,,,,,,,
"US1MIBY0006","BAY CITY 2.2 WNW, MI US","2015",,,,"       132","        72",,,,,,,,,,,"2.89",,,,,,,,,,,,,,,,"39.43",,,,,,,,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","2015",,,,"       124","        71",,,,,,,,,,,"4.93",,,,,,,,,,,,,,,,"38.69",,,,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2015",,"300","300","       136","        75","       63","        28","        11","       116","        46","       153","         4","-15","25","10.0","2.00","90","7118",,,"7118",,,,,,,,,,,"34.57",,"84.4","48.5","59.3","37.7",,,,,,,,
"USC00205603","MORENCI, MI US","2015",,"654","654","       126","        81","       68","        11","        23","       137","        49","       153","        10","-16","10","9.5","3.65","93",,,,,,,,,,,,,,,"36.84",,"32.7","48.8","60.1","37.5",,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","2015",,,,"       146","        63",,"        13",,,,,,,,"7.3","1.23",,,,,,,,,,,,,,,,"23.67",,"40.8",,,,,,,,,,,
"USC00208443","VASSAR, MI US","2015",,"442","442","       134","        69",,,"        28","       149","        58","       133","         7","-29",,,"2.34","92","7874",,,"7874",,,,,,,,,,,"29.11",,,"46.0","57.8","34.2",,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2015","9.2","1022","1022","       113","        59",,,"        13","       110","        40","       162","        22","-18",,,"1.19","97","6251",,,"6251",,,,,,,,,,,"26.81",,,"52.1","62.5","41.6",,"       260","       260",,,"46.1","55.9",
"USC00201250","CARLETON 2 W, MI US","2015",,"663","663","       139","        78","       60","        15","        21","       116","        49","       150","         1","-23","16","9.2","2.05","90","6971",,,"6971",,,,,,,,,,,"37.90",,"41.7","49.3","59.0","39.7",,,,,,,,
"USC00201492","CHEBOYGAN, MI US","2015",,"293","293","       168","        75","       88","        32","        35","       143","        72","        97","         1","-32","13","9.0","1.45","90","8911",,,"8911",,,,,,,,,,,"29.34",,"65.8","43.2","52.8","33.7",,,,,,,,
"USC00207350","SANDUSKY, MI US","2015",,"653","653","        99","        79",,,"        20","       115","        59","       129","         5","-16",,,"1.65","92",,,,,,,,,,,,,,,"26.67",,,"48.1","57.3","38.9",,,,,,,,
"USC00208682","WATERSMEET 12 WSW, MI US","2015",,,,"       148","        79",,,,,,,,,,,"2.32",,,,,,,,,,,,,,,,"32.71",,,,,,,,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","2015",,,,"       151","        86",,,,,,,,,,,"1.45",,,,,,,,,,,,,,,,"37.17",,,,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2015","10.1","255","255","       148","        62",,,"        26","       166","        88","        91","         1","-25",,,"1.35","91","9667",,,"9667",,,,,,,,,,,"22.95",,,"41.6","50.3","32.9",,"       270","       260",,,"48.1","59.9",
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2015",,,,"       138","        78",,,,,,,,,,,"2.18",,,,,,,,,,,,,,,,"38.41",,,,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.78",,,,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2015",,"532","532","       133","        74",,,"        24","       128","        52","       139","         4","-23",,,"2.14","91","7013",,,"7013",,,,,,,,,,,"31.11",,,"47.9","58.7","37.1",,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2015","6.0","545","545","       125","        60",,,"        16","       133","        64","       127","        10","-22",,,"1.47","93","7873",,,"7873",,,,,,,,,,,"24.49",,,"46.7","56.2","37.3",,"       300","       300",,,"40.0","55.0",
"US1MIIH0032","WILLIAMSTON 4.0 ESE, MI US","2015",,,,"       146","        76",,,,,,,,,,,"2.52",,,,,,,,,,,,,,,,"31.84",,,,,,,,,,,,,
"USC00201818","CORUNNA 2 NE, MI US","2015",,"529","529","       121","        65",,,"        27","       138","        56","       142","         6","-26",,,"1.43","92","7625",,,"7625",,,,,,,,,,,"30.13",,,"47.3","58.4","36.2",,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2015","7.8","519","519","       127","        61",,,"         8","       117","        53","       139","         2","-15",,,"2.01","92","7204",,,"7204",,,,,,,,,,,"30.66",,,"48.7","57.7","39.7",,"       260","       240",,,"40.0","53.0",
"USC00205065","MANISTEE 3 SE, MI US","2015",,"439","439","       136","        82",,,"         9","       125","        65","       125","         0","-9",,,"2.00","89","7443",,,"7443",,,,,,,,,,,"36.37",,,"47.7","56.6","38.8",,,,,,,,
"USC00206398","PAULDING, MI US","2015",,"214","214","       166","        70",,,"        44","       194","        87","       102","         3","-33",,,"1.36","90","10073",,,"10073",,,,,,,,,,,"26.63",,,"39.8","51.3","28.3",,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200050","AHMEEK 1 SW, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","2015",,"278","278","       146","        77","      119","        34","        58","       170","        82","       101","         4","-31","32","6.4","1.42","95","10153",,,"10153",,,,,,,,,,,"30.74",,"87.0","40.3","50.8","29.9",,,,,,,,
"US1MIBR0013","HASTINGS 4.3 SSW, MI US","2015",,,,"       135","       104",,,,,,,,,,,"1.65",,,,,,,,,,,,,,,,"40.39",,,,,,,,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","2015",,"334","334","       100","        70","       91","        10","        39","       169","        75","       125","         5","-26","18","5.0","1.80","90","9167",,,"9167",,,,,,,,,,,"33.96",,"29.8","43.0","53.6","32.3",,,,,,,,
"USC00203529","HALE LOUD DAM, MI US","2015",,"378","378","       113","        55","       72","        10","        32","       153","        64","       123","         4","-31","7","5.0","2.12","93",,,,,,,,,,,,,,,"28.60",,"21.0","44.4","56.0","32.9",,,,,,,,
"USC00200495","BARAGA 5 W, MI US","2015",,"399","399","       117","        57",,,"        32","       189","        73","       129","        12","-28",,,"1.50","95","8895",,,"8895",,,,,,,,,,,"22.17",,,"43.0","54.9","31.0",,,,,,,,
"USW00014826","FLINT FCWOS, MI US","2015","8.7","739","739","       131","        60","       77","        16","        15","       120","        49","       148","        10","-25","13","10.0","1.52","93","7001",,,"7001",,,,,,,,,,,"29.34",,"49.1","49.6","59.9","39.3",,"       320","       290",,,"44.1","59.1",
"USC00200497","BARAGA 7 NW, MI US","2015",,,,"       111","        62","      113","        30",,,,,,,"24","6.3","1.34",,,,,,,,,,,,,,,,"22.93",,"88.3",,,,,,,,,,,
"USW00014828","GLADWIN, MI US","2015",,"568","568","       120","        61","       78","        13","        31","       143","        56","       143","        12","-25","11","5.0","1.50","94","7520",,,"7520",,,,,,,,,,,"29.26",,"31.8","47.0","58.6","35.4",,,,,,,,
"USC00202437","EATON RAPIDS, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201468","CHARLEVOIX, MI US","2015",,"382","382","       145","        78","       80","        16","        19","       124","        69","       102","         1","-18","20","7.0","1.94","90","8339",,,"8339",,,,,,,,,,,"30.68",,"48.0","44.9","52.6","37.3",,,,,,,,
"USC00205822","NEWPORT 4 SSE, MI US","2015",,"756","756","       133","        68",,,"        22","       117","        51","       147","         7","-14",,,"2.42","94","6917",,,"6917",,,,,,,,,,,"32.91",,,"49.6","59.3","39.9",,,,,,,,
"USC00208417","VANDERBILT 11 ENE, MI US","2015",,,,,,"      106",,,,,,,,"15",,,,,,,,,,,,,,,,,,"28.91",,,,,,,,,,,,,
"USC00203096","GAYLORD, MI US","2015",,"219","219","       170","        83","      107","        28","        40","       176","        90","       105","         0","-35","18","7.0","1.83","89","9719",,,"9719",,,,,,,,,,,"34.59",,"85.2","40.9","51.2","30.5",,,,,,,,
"US1MIWY0043","DEARBORN HEIGHTS 1.8 NW, MI US","2015",,,,"       165","        66",,,,,,,,,,,"1.76",,,,,,,,,,,,,,,,"32.70",,,,,,,,,,,,,
"US1MISC0003","PORT HURON 1.6 W, MI US","2015",,,,"       138","        76","       76","        13",,,,,,,"16","11.8","2.35",,,,,,,,,,,,,,,,"32.14",,"46.6",,,,,,,,,,,
"USC00203099","GAYLORD 9 SSW, MI US","2015",,"286","286","       171","        91","       98","        27","        20","       154","        79","       113","         1","-17","20","8.1","1.55","90","8853",,,"8853",,,,,,,,,,,"35.54",,"92.5","43.6","52.6","34.6",,,,,,,,
"USW00014833","JACKSON REYNOLDS FIELD, MI US","2015","8.1","515","515","       126","        61",,,"        16","       130","        60","       144","         1","-19",,,"1.79","90","7245",,,"7245",,,,,,,,,,,"30.68",,,"48.3","58.1","38.5",,"       240","       230",,,"38.0","51.0",
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2015","8.7","594","594","       131","        69","       76","        12","        15","       128","        60","       145","         1","-16","13","8.2","3.77","92","7264",,,"7264",,,,,,,,,,,"34.55",,"38.0","48.5","58.0","38.9",,"       240","       260",,,"40.0","51.0",
"USW00094898","PORT HOPE, MI US","2015","8.7",,,"       133","        65",,,,,,,,,,,"1.70",,,,,,,,,,,,,,,,"27.69",,,,,,,"       100","       100",,,"42.9","50.1",
"USW00094899","COPPER HARBOR, MI US","2015","9.2","268","268","       150","        57",,,"        14","       141","        83","        81","         0","-16",,,"1.54","87","9200",,,"9200",,,,,,,,,,,"23.56",,,"42.8","49.9","35.7",,"        30","        30",,,"40.9","53.0",
"USC00202328","DURAND WWTP, MI US","2015",,,,"       136","        69","       54","         8",,,"        61","       135","         7",,"11","11.1","2.47","92",,,,,,,,,,,,,,,"33.81",,"30.7",,"58.4",,,,,,,,,
"USW00094893","IRON MOUNTAIN FORD AIRPORT, MI US","2015","6.9","301","301","        88","        43",,,"        37","       172","        73","       126","         4","-25",,,"1.18","91","9323",,,"9323",,,,,,,,,,,"14.97",,,"42.8","53.9","31.7",,"       330","       330",,,"38.0","50.1",
