"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","PEANUTS - ACRES HARVESTED  -  <b>VALUE</b>","PEANUTS - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,545,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,615,200",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,389,700",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,373,500",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,775,600",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,536,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,560,900",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,322,500",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,043,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,604,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,080,600",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,255,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,079,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,507,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,195,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,210,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,629,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,394,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,312,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,291,700",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,411,900",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,336,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,436,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,467,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,413,800",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,380,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,517,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,618,500",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,689,800",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,669,100",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","2,015,700",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,815,500",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,644,700",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,628,400",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,547,400",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,535,200",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,467,400",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,528,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,373,500",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,277,400",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,488,700",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,399,800",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,519,700",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,509,100",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PEANUTS","TOTAL","NOT SPECIFIED","1,512,400",""
