"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RICE - ACRES HARVESTED  -  <b>VALUE</b>","RICE - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,488,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,986,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,477,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,910,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,374,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,097,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,584,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,933,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,463,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,679,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,617,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,615,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,103,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,976,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,748,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,821,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,364,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,325,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","2,997,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,207,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RICE","TOTAL","NOT SPECIFIED","3,314,000",""
