"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RYE - ACRES HARVESTED  -  <b>VALUE</b>","RYE - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","294,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","330,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","310,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","273,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","300,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","411,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","365,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","258,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","278,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","250,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","239,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","270,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","251,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","286,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","252,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","274,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","279,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","300,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","319,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","263,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","250,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","296,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","383,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","316,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","345,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","385,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","407,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","381,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","391,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","395,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","375,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","484,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","595,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","RYE","TOTAL","NOT SPECIFIED","671,000",""
